designator,oomp_key,placed,note,position_x,position_y,rotation,offset_x,offset_y
H1,oomp_electronic_mounting_hole_m6,,,-15,15,,,
H2,oomp_electronic_mounting_hole_m6,,,-7.5,15,,,
H3,oomp_electronic_mounting_hole_m6,,,0,15,,,
H4,oomp_electronic_mounting_hole_m6,,,7.5,15,,,
H5,oomp_electronic_mounting_hole_m6,,,15,15,,,
H6,oomp_electronic_mounting_hole_m6,,,-15,-15,,,
H7,oomp_electronic_mounting_hole_m6,,,-7.5,-15,,,
H8,oomp_electronic_mounting_hole_m6,,,7.5,-15,,,
H9,oomp_electronic_mounting_hole_m6,,,15,-15,,,
J1,oomp_electronic_header_2d54_mm_4_pin,,,-3.81,-14.75,90,,
